player_id,name,season,position,games,goals,shots,time,xG,assists,xA,key_passes,team,yellow,red,npg,npxG,xGChain,xGBuildup
787,Ryan Bennett,2019,DC,11,0,1,606,0.0239153001457452,0,0.090542497113347,2,Wolverhampton Wanderers,2,0,0,0.0239153001457452,0.7968852017074823,0.7063417974859476
787,Ryan Bennett,2019,Sub,5,0,0,335,0.0,0,0.0,0,Leicester,0,0,0,0.0,1.4728022143244743,1.4728022143244743
787,Ryan Bennett,2018,DC,34,1,15,3060,1.0000522956252098,0,0.7868757918477058,9,Wolverhampton Wanderers,12,0,1,1.0000522956252098,5.850177801214159,4.800759092904627
787,Ryan Bennett,2015,DC,22,0,8,1842,0.57474460080266,0,0.2777703925967216,4,Norwich,7,0,0,0.57474460080266,1.7487185904756188,1.589243390597403
788,Russell Martin,2015,DC,30,3,18,2699,1.8422323176637287,0,1.0656029731035233,8,Norwich,4,1,3,1.8422323176637287,3.953611842356622,2.83197205606848
789,Robbie Brady,2020,MR,19,1,16,1061,0.7830978035926819,1,0.9085825961083174,7,Burnley,3,0,1,0.7830978035926819,2.677590448409319,1.5309147164225578
789,Robbie Brady,2019,Sub,17,1,12,436,0.9964995980262756,2,0.3175496002659201,9,Burnley,1,0,1,0.9964995980262756,1.495763123035431,0.8886655867099762
789,Robbie Brady,2018,ML,16,0,12,701,0.678755097091198,1,1.0314604192972183,14,Burnley,3,1,0,0.678755097091198,1.191131705418229,0.5127436015754938
789,Robbie Brady,2017,ML,15,1,24,1279,1.1337131969630718,2,2.1779294349253178,25,Burnley,3,0,1,1.1337131969630718,2.4111943058669567,1.1411126032471657
789,Robbie Brady,2016,ML,14,1,19,710,0.7694878149777651,2,1.6063628867268562,16,Burnley,1,0,1,0.7694878149777651,1.5022324780002236,0.3219616180285811
789,Robbie Brady,2015,DL,36,3,53,2996,2.794267915189266,2,5.04878506064415,54,Norwich,3,0,3,2.794267915189266,6.695630591362715,3.041910846717656
789,Robbie Brady,2014,Sub,27,0,23,1750,1.1762968199327588,2,4.28132613375783,35,Hull,2,0,0,1.1762968199327588,5.154144831001759,1.8241602927446363
790,Nathan Redmond,2023,Sub,12,0,0,100,0.0,0,0.2518436722457409,4,Burnley,1,0,0,0.0,0.9050039984285831,0.8224344961345196
790,Nathan Redmond,2022,Sub,1,0,0,1,0.0,0,0.0,0,Southampton,0,0,0,0.0,0.0,0.0
790,Nathan Redmond,2021,Sub,27,1,26,1829,1.6321709342300892,5,4.070743652060628,34,Southampton,0,0,1,1.6321709342300892,7.378807194530964,3.2111310930922627
790,Nathan Redmond,2020,ML,29,2,45,1718,3.833790317177773,3,3.353081863373518,29,Southampton,1,0,2,3.833790317177773,8.99761745147407,3.267556704580784
790,Nathan Redmond,2019,AMC,32,4,59,2781,5.287323888391256,4,3.6244101859629154,38,Southampton,2,0,4,5.287323888391256,13.674614310264587,6.087856294587255
790,Nathan Redmond,2018,AMC,38,6,74,3283,7.911501468159258,4,5.312565573491156,52,Southampton,3,0,6,7.911501468159258,16.49272551946342,5.913362832739949
790,Nathan Redmond,2017,AML,31,1,44,1947,2.318285396322608,3,4.201632303185761,42,Southampton,3,0,1,2.318285396322608,8.6934315841645,3.71267812885344
790,Nathan Redmond,2016,FW,37,7,83,2917,4.817707560956478,1,5.891832923516631,57,Southampton,2,1,7,4.817707560956478,15.177735261619093,6.430120557546616
790,Nathan Redmond,2015,Sub,35,6,54,2321,3.4319807747378945,3,3.6447911020368338,45,Norwich,0,0,6,3.4319807747378945,9.672524183057249,6.095174287445843
791,Alexander Tettey,2019,Sub,30,1,23,2372,0.6770779136568308,1,0.4899775143712759,5,Norwich,5,0,1,0.6770779136568308,5.790715465322137,5.039047980681062
791,Alexander Tettey,2015,DMC,23,2,20,1956,0.6745796985924244,0,0.1093363417312502,5,Norwich,10,0,2,0.6745796985924244,3.9621738800778985,3.3664298839867115
792,Jonny Howson,2015,MR,36,3,35,2960,2.2518839417025447,4,2.8945629689842463,26,Norwich,7,0,3,2.2518839417025447,8.28648187033832,5.196510763838887
793,Wes Hoolahan,2015,MC,30,4,26,2026,3.4676506221294403,8,4.911916113458574,49,Norwich,1,0,3,2.706481605768204,9.969727208837869,5.996438333764672
794,Cameron Jerome,2015,Sub,34,3,46,1770,8.215384827926755,2,0.3745400048792362,8,Norwich,2,0,3,8.215384827926755,6.644690910354257,1.1840089233592153
795,Dieumerci Mbokani,2016,Sub,12,0,14,765,1.549893588759005,1,0.4510626122355461,8,Hull,0,0,0,1.549893588759005,1.6962678991258144,0.3789525050669908
795,Dieumerci Mbokani,2015,Sub,29,7,37,1568,6.585035309195519,1,1.5376300066709518,25,Norwich,0,0,7,6.585035309195519,7.872770933434367,1.3138999929651618
796,Gary O'Neil,2015,Sub,27,0,11,1738,0.8533069975674152,0,0.5954609988257289,9,Norwich,7,1,0,0.8533069975674152,4.298285402357578,3.374219039455056
797,Youssouf Mulumbu,2015,MC,7,0,3,374,0.1450005993247032,0,0.0152241997420787,1,Norwich,1,0,0,0.1450005993247032,0.3862261958420276,0.2441050950437784
797,Youssouf Mulumbu,2014,MC,17,0,12,900,0.4765350986272096,0,0.3007141947746277,5,West Bromwich Albion,1,1,0,0.4765350986272096,1.8632659167051315,1.7142265252768991
798,Martin Olsson,2017,DL,36,0,17,3159,0.8586820987984538,1,0.6865647071972489,13,Swansea,7,0,0,0.8586820987984538,4.866445885039866,3.767029187642038
798,Martin Olsson,2016,DL,15,2,9,1252,0.70154869556427,0,0.3955680020153522,7,Swansea,2,0,2,0.70154869556427,3.1216078102588654,2.286035118624568
798,Martin Olsson,2015,DL,24,1,7,1767,0.1644793003797531,2,0.9000751879066229,7,Norwich,2,0,1,0.1644793003797531,3.353635421022773,2.440692376345396
799,Declan Rudd,2015,GK,11,0,0,990,0.0,0,0.0,0,Norwich,2,0,0,0.0,0.2875345982611179,0.2875345982611179
